latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.61,3.88,58.0,0,GMT,GMT

time,windspeed_10m (km/h)
2023-10-30T00:00,22.6
2023-10-30T01:00,22.2
2023-10-30T02:00,21.1
2023-10-30T03:00,18.2
2023-10-30T04:00,20.2
2023-10-30T05:00,18.7
2023-10-30T06:00,19.4
2023-10-30T07:00,18.9
2023-10-30T08:00,23.3
2023-10-30T09:00,23.2
2023-10-30T10:00,24.8
2023-10-30T11:00,26.0
2023-10-30T12:00,24.5
2023-10-30T13:00,23.2
2023-10-30T14:00,29.9
2023-10-30T15:00,20.6
2023-10-30T16:00,21.4
2023-10-30T17:00,11.7
2023-10-30T18:00,9.1
2023-10-30T19:00,12.0
2023-10-30T20:00,15.8
2023-10-30T21:00,16.0
2023-10-30T22:00,16.0
2023-10-30T23:00,13.7
2023-10-31T00:00,13.3
2023-10-31T01:00,10.8
2023-10-31T02:00,10.9
2023-10-31T03:00,10.1
2023-10-31T04:00,10.8
2023-10-31T05:00,11.2
2023-10-31T06:00,8.3
2023-10-31T07:00,9.8
2023-10-31T08:00,11.0
2023-10-31T09:00,8.2
2023-10-31T10:00,15.9
2023-10-31T11:00,14.6
2023-10-31T12:00,16.1
2023-10-31T13:00,15.8
2023-10-31T14:00,15.9
2023-10-31T15:00,8.3
2023-10-31T16:00,9.2
2023-10-31T17:00,5.8
2023-10-31T18:00,8.6
2023-10-31T19:00,8.4
2023-10-31T20:00,6.8
2023-10-31T21:00,4.8
2023-10-31T22:00,5.8
2023-10-31T23:00,5.1
2023-11-01T00:00,4.4
2023-11-01T01:00,4.4
2023-11-01T02:00,5.2
2023-11-01T03:00,7.2
2023-11-01T04:00,9.8
2023-11-01T05:00,8.4
2023-11-01T06:00,12.1
2023-11-01T07:00,18.4
2023-11-01T08:00,20.5
2023-11-01T09:00,20.4
2023-11-01T10:00,19.5
2023-11-01T11:00,20.8
2023-11-01T12:00,22.4
2023-11-01T13:00,20.5
2023-11-01T14:00,19.5
2023-11-01T15:00,13.6
2023-11-01T16:00,9.4
2023-11-01T17:00,6.2
2023-11-01T18:00,5.4
2023-11-01T19:00,5.1
2023-11-01T20:00,5.5
2023-11-01T21:00,7.6
2023-11-01T22:00,7.6
2023-11-01T23:00,4.8
2023-11-02T00:00,8.0
2023-11-02T01:00,9.7
2023-11-02T02:00,13.7
2023-11-02T03:00,17.7
2023-11-02T04:00,19.0
2023-11-02T05:00,23.3
2023-11-02T06:00,23.7
2023-11-02T07:00,27.0
2023-11-02T08:00,25.9
2023-11-02T09:00,25.4
2023-11-02T10:00,15.3
2023-11-02T11:00,25.7
2023-11-02T12:00,20.1
2023-11-02T13:00,16.9
2023-11-02T14:00,14.7
2023-11-02T15:00,11.7
2023-11-02T16:00,10.9
2023-11-02T17:00,9.3
2023-11-02T18:00,13.0
2023-11-02T19:00,15.0
2023-11-02T20:00,20.5
2023-11-02T21:00,23.7
2023-11-02T22:00,21.0
2023-11-02T23:00,16.3
2023-11-03T00:00,12.4
2023-11-03T01:00,5.9
2023-11-03T02:00,1.3
2023-11-03T03:00,4.8
2023-11-03T04:00,7.0
2023-11-03T05:00,8.0
2023-11-03T06:00,4.9
2023-11-03T07:00,4.9
2023-11-03T08:00,4.9
2023-11-03T09:00,NaN
2023-11-03T10:00,NaN
2023-11-03T11:00,NaN
2023-11-03T12:00,NaN
2023-11-03T13:00,NaN
2023-11-03T14:00,NaN
2023-11-03T15:00,NaN
2023-11-03T16:00,NaN
2023-11-03T17:00,NaN
2023-11-03T18:00,NaN
2023-11-03T19:00,NaN
2023-11-03T20:00,NaN
2023-11-03T21:00,NaN
2023-11-03T22:00,NaN
2023-11-03T23:00,NaN
